country,continent,year,life_exp,hdi_index,co2_consump,gdp,services
Afghanistan,Asia,2000,54.7,0.35,0.037,55,24.7
Albania,Europe,2000,75.4,0.671,0.966,1960,34.4
Algeria,Africa,2000,71,0.637,2.82,3110,52.8
Angola,Africa,2000,52.8,0.4,0.581,2450,53.9
Argentina,South America,2000,74.2,0.781,3.85,10700,76.6
Armenia,Asia,2000,72.4,0.669,1.14,1290,41.5
Australia,Oceania,2000,79.7,0.903,18.5,45700,73.5
Austria,Europe,2000,78.5,0.847,8.22,38800,63.9
Azerbaijan,Asia,2000,66.5,0.635,3.64,1500,48
Bahamas,North America,2000,71.3,0.797,6.55,35800,78.9
Bahrain,Asia,2000,71.7,0.795,28.3,23200,69.9
Bangladesh,Asia,2000,65.5,0.478,0.208,654,24.5
Barbados,North America,2000,74.7,0.771,4.24,16200,75.1
Belarus,Europe,2000,69,0.686,5.62,2620,52.3
Belgium,Europe,2000,78,0.88,12.3,35700,72.3
Belize,North America,2000,70,0.64,1.6,4280,56.6
Benin,Africa,2000,57.4,0.416,0.229,906,31.7
Bhutan,Asia,2000,65.7,,0.646,1110,26.6
Bolivia,South America,2000,66.5,0.627,1.31,2060,42.4
Bosnia and Herzegovina,Europe,2000,75.5,0.679,3.66,2660,45
Botswana,Africa,2000,45.5,0.581,2.3,4650,58.9
Brazil,South America,2000,71.2,0.685,1.86,6790,61.7
Brunei,Asia,2000,72.5,0.802,13.8,34100,76.3
Bulgaria,Europe,2000,70.2,0.72,5.66,3670,54
Burkina Faso,Africa,2000,52.5,0.293,0.0889,440,13.2
Burundi,Africa,2000,44.7,0.3,0.0425,307,5.98
Cambodia,Asia,2000,60.4,0.424,0.163,486,18
Cameroon,Africa,2000,54.5,0.44,0.216,1060,23.9
Canada,North America,2000,79.4,0.867,18.7,34100,74.2
Cape Verde,Africa,2000,70.3,0.569,0.505,1970,55.9
Central African Republic,Africa,2000,43.8,0.325,0.0735,460,16.3
Chad,Africa,2000,52.3,0.293,0.0584,375,15.9
Chile,South America,2000,76.9,0.756,3.79,8690,62.2
China,Asia,2000,71.3,0.588,2.6,2190,27.5
Colombia,South America,2000,74.2,0.666,1.42,3960,59
Comoros,Africa,2000,61.4,0.465,0.189,1190,27.7
"Congo, Dem. Rep.",Africa,2000,53.9,0.349,0.019,351,18.5
"Congo, Rep.",Africa,2000,53,0.461,0.335,2060,33.8
Costa Rica,North America,2000,77.9,0.721,1.36,7680,61.3
Cote d'Ivoire,Africa,2000,51.1,0.421,0.393,1830,36.2
Croatia,Europe,2000,74.7,0.757,4.45,8720,54.3
Cuba,North America,2000,77,0.691,2.33,4110,53.6
Cyprus,Asia,2000,76.7,0.804,7.56,26700,70.8
Czech Republic,Europe,2000,75.2,0.804,12.4,12300,54.8
Denmark,Europe,2000,77.2,0.87,10.2,49200,71
Djibouti,Africa,2000,60.4,0.36,0.511,222,45.8
Dominican Republic,North America,2000,73.7,0.659,2.31,4210,59.8
Ecuador,South America,2000,74.5,0.675,1.62,4210,49.7
Egypt,Africa,2000,68.5,0.613,2.04,2610,49.1
El Salvador,North America,2000,73.1,0.615,0.964,2980,54.1
Equatorial Guinea,Africa,2000,57.6,0.525,0.756,4450,37.5
Estonia,Europe,2000,71,0.787,11,9960,58.6
Eswatini,Africa,2000,48.3,0.465,1.19,2470,50.9
Ethiopia,Africa,2000,51.1,0.292,0.0524,262,16.7
Fiji,Oceania,2000,65.8,0.695,1.03,4110,46.8
Finland,Europe,2000,78,0.864,11,37900,65.8
France,Europe,2000,79.2,0.849,7.06,33600,69.6
Gabon,Africa,2000,59.6,0.621,3.8,7890,50.1
Gambia,Africa,2000,61.6,0.403,0.209,729,47.2
Georgia,Asia,2000,70.7,0.69,1.03,1570,38
Germany,Europe,2000,78.4,0.876,11.1,34500,63.8
Ghana,Africa,2000,59.6,0.494,0.317,1000,31
Greece,Europe,2000,78.4,0.804,9.3,18600,60
Guatemala,North America,2000,66.7,0.549,0.839,3200,37.7
Guinea,Africa,2000,54.3,0.34,0.181,628,23
Guinea-Bissau,Africa,2000,51.5,,0.122,577,22.3
Guyana,South America,2000,64,0.616,2.16,3850,51
Haiti,North America,2000,57.4,0.442,0.159,1270,54.7
